종목코드,판매비와관리비,판매비와관리비_전기,판매비와관리비_전전기,매출원가,매출원가_전기,매출원가_전전기
241710,74520350255.0,64143789340.0,57967781477.0,482871815296.0,399822388878.0,363597254305.0
007390,13103736452.0,16323751556.0,18467933679.0,11277120776.0,15412637707.0,11155938337.0
950160,16177812.0,16563176.0,16023679.0,3145406.0,3283736.0,2522466.0
131970,30484509000.0,29884307000.0,22252336000.0,274330389000.0,305310341000.0,255621120000.0
089970,29051541663.0,31963726764.0,23624093192.0,90687158144.0,46913309570.0,13347330925.0
323280,10145974140.0,8521562447.0,5899807558.0,30219619004.0,44653200507.0,28124854715.0
030530,119918482423.0,112519977675.0,102573865303.0,464816482210.0,468230727062.0,585638815108.0
078600,34572696136.0,32632838629.0,27755596627.0,199354358954.0,157329839845.0,151024344093.0
290650,40972809650.0,31806666583.0,30949716511.0,40087891765.0,36356595276.0,32070435651.0
035900,148197369332.0,128119279778.0,98839668860.0,518411171206.0,345406334314.0,298216964062.0
420770,16273577570.0,13898424699.0,18262627933.0,24060600166.0,14021840178.0,38146254006.0
039200,18174546472.0,13085469272.0,10668645457.0,1945760670.0,2226905237.0,2030286742.0
183300,148025692578.0,121923981855.0,83519591378.0,343492078624.0,272328834755.0,190582534093.0
082920,21964796896.0,18576516038.0,14313271768.0,151849943173.0,140292209099.0,124216885285.0
127120,16133865004.0,11924876192.0,9883224600.0,15669302533.0,13094408848.0,16407822307.0
218410,33359086853.0,34118615135.0,36489332380.0,121555205948.0,79227559620.0,74640642120.0
003380,1449389000000.0,1424510000000.0,1410822000000.0,10878068000000.0,10082969000000.0,10083996000000.0
195940,376760865754.0,346848445437.0,310037152831.0,575513590574.0,462069030674.0,452941142112.0
204270,25557929920.0,32306900703.0,30997669681.0,238091319634.0,287023234804.0,263900746901.0
043260,36701553636.0,29651169116.0,20298284316.0,187324059426.0,171363750718.0,161906025098.0
347700,7796712078.0,13700901063.0,,78789579665.0,56549500206.0,
166090,35010771282.0,31018896545.0,24766092976.0,188390141999.0,177215558471.0,167527812937.0
437730,10313854640.0,8320494240.0,5893325067.0,83922533654.0,86610254831.0,84159040922.0
086450,,,,425285866663.0,364270247606.0,320212652231.0
356860,12257910433.0,10746067793.0,8311443972.0,220277193240.0,165897279035.0,159950286696.0
232140,54640122633.0,47848706307.0,40804204135.0,201000007307.0,152792998218.0,205806523132.0
445680,14449746533.0,15936579243.0,14382364473.0,3016230826.0,2028865031.0,2962620576.0
036540,,,,372719484474.0,387396598466.0,416697715975.0
124500,167283325829.0,143947811390.0,135366402838.0,8423635704633.0,4759334966488.0,2649260030538.0
