종목코드,조회코드,종목명,영문명,시장구분,통화,현재가,등락률,시가총액,거래량,배당수익률,업종_소분류,상장폐지여부,국가,기준연도,결산월,매출액_전전기,매출액_원화_전전기,매출액,매출액_원화,매출액_전기,매출액_원화_전기,PER_전전기,PER,PER_전기,PBR_전전기,PBR,PBR_전기,EBITDA_전전기,EBITDA_원화_전전기,EBITDA,EBITDA_원화,EBITDA_전기,EBITDA_원화_전기,영업이익_전전기,영업이익_원화_전전기,영업이익,영업이익_원화,영업이익_전기,영업이익_원화_전기,당기순이익_전전기,당기순이익_원화_전전기,당기순이익,당기순이익_원화,당기순이익_전기,당기순이익_원화_전기,배당수익률_전전기,배당수익률_전기,ROA_전전기,ROA,ROA_전기,영업이익률
300467,300467.SZ,신유네트워크,Sichuan Xunyou Network Technology Co.  Ltd. Class A,심천,CNY,35.06,-1.38,7124363689.0,3053200.0,0.0,소프트웨어,True,중국,2025,12.31,370680000.0,74456000000.0,286920000.0,57629999999.99999,297420000.0,59741000000.0,117.73,276.75,317.55,5.72,10.97,10.47,62260000.0,12505000000.0,9920000.0,1992000000.0000002,9170000.0,1842000000.0000002,49080000.0,9858000000.0,-860000.0,-172000000.0,-3060000.0,-614000000.0,29390000.0,5903000000.0,25580000.0,5139000000.0,20540000.0,4125000000.0,,,7.6,3.01,2.42,-0.3
000058,000058.SZ,심새격,Shenzhen SEG Co Ltd Class A,심천,CNY,7.23,3.73,7119665529.0,21453300.0,0.34,부동산 서비스,True,중국,2025,12.31,1949070000.0,391489000000.0,1687650000.0,338982000000.0,1711470000.0,343766000000.0,122.42,116.69,257.16,5.25,4.39,5.07,148040000.0,29735000000.000004,270420000.0,54316999999.99999,225670000.0,45327000000.0,37150000.0,7462000000.0,180350000.0,36224000000.0,153190000.0,30770000000.0,90470000.0,18171000000.0,69390000.0,13938999999.999998,37560000.0,7545000000.0,0.35,0.15,2.13,1.29,0.96,10.69
001382,001382.SZ,Guangdong Xinyaguang Cable Co Ltd Class A,Guangdong Xinyaguang Cable Co Ltd Class A,심천,CNY,17.23,-0.06,7098760000.0,5372025.0,0.44,전기 부품 및 장비,True,중국,2025,12.31,,,2947170000.0,591968000000.0,2833690000.0,569175000000.0,,67.46,61.66,,4.2,6.86,,,158710000.0,31879000000.000004,195640000.0,39297000000.0,,,144450000.0,29014000000.0,180140000.0,36183000000.0,,,100390000.0,20164000000.0,134880000.0,27092000000.0,,1.24,,5.88,8.23,4.9
301215,301215.SZ,중기고분,CATARC Automotive Proving Ground Co Ltd Class A,심천,CNY,5.36,0.19,7096104000.0,7950268.0,1.85,경영 지원 서비스,True,중국,2025,12.31,356730000.0,71653000000.0,577770000.0,116052000000.0,400110000.0,80365000000.0,42.66,33.66,49.36,2.5,2.45,2.89,242330000.0,48674000000.0,356640000.0,71635000000.0,266920000.00000003,53613000000.0,170350000.0,34217000000.0,237790000.0,47763000000.0,179450000.0,36044000000.0,164960000.0,33133999999.999996,212680000.0,42718000000.0,166650000.0,33474000000.0,0.83,1.44,5.04,6.01,4.87,41.16
301365,301365.SZ,Matrix Design Co Ltd Class A,Matrix Design Co Ltd Class A,심천,CNY,38.81,0.88,7080061767.0,3116050.0,1.77,주택 건설,True,중국,2025,12.31,,,,,,,,114.29,,,4.21,,,,,,,,,,,,,,,,,,,,,,,,,
300981,300981.SZ,중홍플린,Zhonghong Pulin Medical Products Co Ltd Class A,심천,CNY,16.5,-0.42,7076271824.0,17059736.0,2.11,"의료 장비, 물품 및 유통",True,중국,2025,12.31,2105250000.0,422860999999.99994,2373210000.0,476682000000.0,2456650000.0,493443000000.0,,237.24,243.23,0.75,1.3,1.17,45900000.0,9219000000.0,110080000.0,22111000000.0,195570000.0,39283000000.0,-160640000.0,-32267000000.0,-113140000.0,-22726000000.0,-23970000.0,-4814000000.0,-130870000.0,-26287000000.0,-112380000.0,-22573000000.0,-87130000.0,-17501000000.0,4.52,1.51,-1.84,-1.59,-1.2,-4.77
002014,002014.SZ,영신고분,Huangshan Novel Co Ltd Class A,심천,CNY,11.54,1.14,7068156134.0,2962600.0,4.82,용기(종이 제외) 및 포장재,True,중국,2025,12.31,3378790000.0,678665000000.0,3723370000.0,747875000000.0,3525460000.0,708124000000.0,17.48,15.79,15.01,2.98,2.78,2.7,612640000.0,123056000000.0,648020000.0,130160999999.99998,652510000.0,131064000000.00002,462330000.0,92864000000.0,495200000.0,99465000000.0,500260000.0,100482000000.0,408050000.0,81960000000.0,438130000.0,88003000000.0,467750000.0,93953000000.0,4.6,5.18,11.08,10.23,11.47,13.3
000968,000968.SZ,태원석탄가스화학,Shanxi Blue Flame Holding Co Ltd Class A,심천,CNY,7.29,0.83,7053094391.0,20929154.0,0.69,"오일, 가스 탐사 및 생산",True,중국,2025,12.31,2381450000.0,478339000000.00006,2110260000.0000002,423866000000.0,2265910000.0,455131000000.00006,11.05,21.35,19.68,1.05,1.14,1.44,1276930000.0,256484000000.0,1158780000.0,232754000000.0,1199980000.0,241028000000.00003,751880000.0,151023000000.0,502130000.0,100858000000.0,596210000.0,119756000000.0,540210000.0,108507000000.0,334930000.0,67274000000.0,434430000.0,87259000000.0,2.76,0.34,4.57,2.92,3.74,23.79
300091,300091.SZ,금통령과기,Jin Tong Ling Technology Group Co Ltd Class A,심천,CNY,2.48,0.0,7048271766.0,2916600.0,0.0,산업용 기계 및 장비,True,중국,2025,12.31,1450080000.0,291263000000.0,748010000.0,150246000000.0,1407320000.0,282674000000.0,,,,1.74,6.9,7.32,-322140000.0,-64704000000.0,-356570000.0,-71620000000.0,-288500000.0,-57949000000.0,-423840000.0,-85132000000.0,-458600000.0,-92115000000.0,-403220000.0,-80991000000.0,-505510000.0,-101537000000.0,-1364360000.0,-274046000000.0,-1314500000.0,-264030000000.00003,,,-9.53,-32.4,-28.46,-61.31
301162,301162.SZ,국능일신,State Power Rixin Tech Co Ltd Class A,심천,CNY,37.6,1.02,7020903954.0,2650308.0,1.29,소프트웨어,True,중국,2025,12.31,456220000.0,91637000000.0,717370000.0,144090000000.0,549760000.0,110424000000.0,62.3,50.86,83.43,4.79,4.41,6.44,68700000.0,13799000000.0,167250000.0,33594000000.0,98620000.0,19808000000.0,57790000.0,11608000000.0,124490000.0,25006000000.0,77880000.0,15643000000.0,84250000.0,16922000000.0,130250000.0,26163000000.0,93590000.0,18798000000.0,0.87,0.69,6.21,6.28,5.93,17.35
