종목코드,조회코드,종목명,영문명,시장구분,통화,현재가,등락률,시가총액,거래량,배당수익률,업종_소분류,상장폐지여부,국가,기준연도,결산월,매출액_전기,매출액_원화_전기,매출액_전전기,매출액_원화_전전기,매출액,매출액_원화,PER_전기,PER_전전기,PER,PBR_전기,PBR_전전기,PBR,EBITDA_전기,EBITDA_원화_전기,EBITDA_전전기,EBITDA_원화_전전기,EBITDA,EBITDA_원화,영업이익_전기,영업이익_원화_전기,영업이익_전전기,영업이익_원화_전전기,영업이익,영업이익_원화,당기순이익_전기,당기순이익_원화_전기,당기순이익_전전기,당기순이익_원화_전전기,당기순이익,당기순이익_원화,배당수익률_전기,배당수익률_전전기,ROA_전기,ROA_전전기,ROA,영업이익률
2411,2411.T,겐다이에이전시,Gendai Agency Inc,도쿄,JPY,470.0,0.21,5339200000.0,6100.0,5.33,광고 및 마케팅,True,일본,2026.0,3.31,7679000000.0,66212000000.0,7419000000.0,63970000000.00001,7531000000.0,64936000000.0,15.46,32.03,11.87,1.36,1.07,1.34,513000000.0,4423000000.0,315000000.0,2716000000.0,740000000.0,6381000000.0,418000000.0,3604000000.0,249000000.0,2147000000.0,674000000.0,5812000000.0,358000000.0,3087000000.0,125000000.0,1078000000.0,473000000.0,4078000000.0,4.72,5.32,6.43,2.19,8.5,8.95
4926,4926.T,씨본 코스매틱,C'Bon Cosmetics Co Ltd,도쿄,JPY,1247.0,0.32,5338656400.0,400.0,1.61,개인 생활 필수 용품,True,일본,2026.0,3.31,8838900000.0,76213000000.0,8498969999.999999,73282000000.0,9267050000.0,79905000000.0,29.7,,21.1,0.9,0.83,0.91,324450000.0,2798000000.0,171850000.0,1482000000.0,469580000.0,4049000000.0,171020000.0,1475000000.0,29400000.0,253000000.0,253260000.0,2184000000.0,136270000.0,1175000000.0,-26350000.0,-227000000.0,213610000.0,1842000000.0,1.66,1.83,1.57,-0.3,2.49,2.73
7538,7538.T,다이수이,Daisui Co Ltd,도쿄,JPY,386.0,0.26,5317080134.0,2700.0,1.82,어업 및 농업,True,일본,2026.0,3.31,99302000000.0,856231000000.0,98460000000.0,848970999999.9999,105770000000.0,912002000000.0,4.4,4.4,7.34,0.46,0.44,0.42,807000000.0,6958000000.0,950000000.0,8191000000.0,1106000000.0,9536000000.0,680000000.0,5863000000.0,830000000.0,7156999999.999999,899000000.0,7752000000.0,1189000000.0,10252000000.0,1009000000.0,8700000000.0,730000000.0,6294000000.0,1.55,1.51,4.79,4.28,2.74,0.85
2656,2656.T,벡토르 홀딩스,Vector Holdings Inc,도쿄,JPY,165.0,1.85,5316712500.0,192600.0,0.0,온라인 서비스,True,일본,2026.0,3.31,162100000.0,1398000000.0,158780000.0,1369000000.0,156490000.0,1349000000.0,,,,15.2,2.4,4.91,-563600000.0,-4860000000.0,-750550000.0,-6472000000.0,-584900000.0,-5043000000.0,-574040000.0,-4950000000.0,-763800000.0,-6586000000.0,-593100000.0,-5114000000.0,-779820000.0,-6723999999.999999,-894970000.0,-7717000000.0,-549760000.0,-4740000000.0,,,-108.22,-94.46,-70.94,-379.0
6171,6171.T,CE관리통합연구소,CE Management Integrated Laboratory Co Ltd,도쿄,JPY,373.0,0.0,5310772135.0,10000.0,3.22,건설 및 엔지니어링,True,일본,2025.0,12.31,7346050000.0,63341000000.0,7326630000.0,63174000000.0,7695660000.0,66355999999.99999,14.87,13.13,9.41,1.32,0.97,1.02,888080000.0,7656999999.999999,833720000.0,7189000000.0,973450000.0,8394000000.0,581070000.0,5010000000.0,474050000.0,4088000000.000001,670180000.0,5779000000.0,362560000.0,3126000000.0,190060000.0,1639000000.0,482990000.0,4165000000.0,2.64,3.79,5.22,2.74,6.72,8.71
4386,4386.T,SIG 그룹,SIG Group Co Ltd,도쿄,JPY,892.0,-0.11,5302065840.0,3300.0,3.7,IT 서비스 및 컨설팅,True,일본,2026.0,3.31,8769200000.0,75612000000.0,6906810000.0,59554000000.0,10877290000.0,93789000000.0,8.96,10.7,8.41,1.98,1.76,1.84,707590000.0,6101000000.0,481130000.0,4149000000.0,932000000.0,8036000000.0,583750000.0,5033000000.0,355620000.0,3066000000.0,751520000.0,6480000000.0,480570000.0,4144000000.0,239280000.0,2063000000.0,482340000.0,4159000000.000001,3.16,2.97,9.24,5.4,8.14,6.91
5612,5612.T,닛폰주철관,NIPPON CHUTETSUKAN K.K.,도쿄,JPY,1609.0,-0.56,5298556066.0,11400.0,1.55,철 및 강철,True,일본,2026.0,3.31,16933000000.0,146005000000.0,16859000000.0,145367000000.0,15942000000.0,137460000000.0,,7.4,402.36,0.59,0.43,0.54,719000000.0,6200000000.0,1276000000.0,11002000000.0,990000000.0,8536000000.0,265000000.0,2285000000.0,865000000.0,7458000000.0,263000000.0,2268000000.0,-230000000.0,-1983000000.0,475000000.0,4096000000.0,91000000.0,785000000.0,1.47,3.47,-0.97,2.55,0.48,1.65
9361,9361.T,후시키 해륙운송,Fushiki Kairiku Unso Co Ltd,도쿄,JPY,2025.0,-1.7,5296185000.0,100.0,2.91,항만 운영 및 서비스,True,일본,2026.0,6.3,13453480000.0,116003000000.0,12935580000.0,111536999999.99998,13453480000.0,116003000000.0,7.73,9.44,7.51,0.46,0.39,0.45,2060900000.0,17770000000.0,1528920000.0,13183000000.000002,2060900000.0,17770000000.0,1244220000.0,10728000000.0,741840000.0,6396000000.0,1244220000.0,10728000000.0,682970000.0,5889000000.0,468220000.0,4037000000.0,682970000.0,5889000000.0,2.87,3.01,3.31,2.25,3.31,9.25
6217,6217.T,쓰다코마공업,Tsudakoma Corp,도쿄,JPY,776.0,-1.02,5282662680.0,53300.0,0.0,산업용 기계 및 장비,True,일본,2025.0,11.3,36445000000.0,314247000000.0,39278000000.0,338675000000.0,35447000000.0,305642000000.0,7.18,,,1.33,1.23,1.88,1239000000.0,10683000000.0,-167000000.0,-1440000000.0,605000000.0,5217000000.0,398000000.0,3432000000.0,-1216000000.0,-10485000000.0,-79000000.0,-681000000.0,488000000.0,4208000000.0,-1246000000.0,-10744000000.0,-262000000.0,-2259000000.0,,,1.6,-3.8,-0.85,-0.22
3758,3758.T,아에리아,Aeria Inc,도쿄,JPY,248.0,0.0,5269858144.0,14700.0,0.0,온라인 서비스,True,일본,2025.0,12.31,19155000000.0,165164000000.0,22671000000.0,195481000000.0,16472000000.0,142030000000.0,,8.3,14.01,0.73,0.6,0.6,245000000.0,2113000000.0,763000000.0,6579000000.000001,775000000.0,6681999999.999999,-42000000.0,-362000000.0,476000000.0,4104000000.0,667000000.0,5751000000.0,-739000000.0,-6372000000.0,480000000.0,4139000000.0,352000000.0,3035000000.0,1.73,1.95,-3.41,2.36,1.76,4.05
