종목코드,종목명,시장구분,종목구분,현재가,등락률,시가총액,상장주식수,거래량,외국인비율,PER,ROE,당기순이익,매출액,부채총계,영업이익,자본총계,자산총계,부채비율,영업이익률,ROE_계산,기준연도,보고서
001800,오리온홀딩스,KOSPI,보통주,26200,3.56,1576100000000,60157,92048,9.91,11.68,5.01,337777860270.0,3393126199452.0,1027474078419.0,487728621983.0,5155936347634.0,6183410426053.0,19.93,14.37,6.55,2025,사업보고서
097230,HJ중공업,KOSPI,보통주,17160,0.0,1549500000000,90295,142091,5.71,10.81,10.15,51444000000.0,1999705000000.0,1783494000000.0,67074000000.0,669588000000.0,2453082000000.0,266.36,3.35,7.68,2025,사업보고서
001430,세아베스틸지주,KOSPI,보통주,42600,-1.96,1527700000000,35862,84508,7.08,17.23,2.89,56136309970.0,3651585276954.0,1961614625454.0,98411992401.0,1952953862759.0,3914568488213.0,100.44,2.7,2.87,2025,사업보고서
294870,IPARK현대산업개발,KOSPI,보통주,23150,0.65,1525800000000,65907,72103,17.68,8.28,5.0,158148718419.0,4147006988796.0,4386345092368.0,248613789437.0,3212755613173.0,7599100705541.0,136.53,6.0,4.92,2025,사업보고서
006280,녹십자,KOSPI,보통주,130500,2.68,1525100000000,11687,18676,23.88,-30.56,-0.38,-29685159445.0,1991279093821.0,1576822440732.0,69149857151.0,1394272744164.0,2971095184896.0,113.09,3.47,-2.13,2025,사업보고서
322000,HD현대에너지솔루션,KOSPI,보통주,136000,-4.23,1523200000000,11200,159947,7.56,18.06,10.59,41676678809.0,492659873672.0,112646200697.0,41222890455.0,417784216586.0,530430417283.0,26.96,8.37,9.98,2025,사업보고서
298020,효성티앤씨,KOSPI,보통주,346000,3.9,1497400000000,4328,19961,21.22,13.3,0.72,38195733782.0,7694843720869.0,3782177685416.0,251502878527.0,1956911565949.0,5739089251365.0,193.27,3.27,1.95,2025,사업보고서
001120,LX인터내셔널,KOSPI,보통주,38600,1.18,1496100000000,38760,48768,26.48,12.5,5.22,158262048335.0,16706309561513.0,5792595381529.0,292193349331.0,3535707599884.0,9328302981413.0,163.83,1.75,4.48,2025,사업보고서
069620,대웅제약,KOSPI,보통주,128800,3.12,1492400000000,11587,19931,15.18,7.63,21.75,192908919078.0,1570891005329.0,1228143539378.0,196782415375.0,1134655756699.0,2362799296077.0,108.24,12.53,17.0,2025,사업보고서
007810,코리아써키트,KOSPI,보통주,60100,-1.31,1441400000000,23983,210540,5.94,19.44,11.54,53794771145.0,1509725133078.0,601954072823.0,53816253084.0,790594031363.0,1392548104186.0,76.14,3.56,6.8,2025,사업보고서
229640,LS에코에너지,KOSPI,보통주,45900,-5.17,1405700000000,30625,97733,6.85,31.72,21.43,48475789714.0,960056115154.0,265569864465.0,66778106845.0,225768642125.0,491338506590.0,117.63,6.96,21.47,2025,사업보고서
012630,HDC,KOSPI,보통주,23200,0.0,1386000000000,59742,110653,24.27,3.14,10.82,416483422703.0,6584797969627.0,7256852508855.0,648868134224.0,5428726196750.0,12685578705605.0,133.68,9.85,7.67,2025,사업보고서
361610,SK아이이테크놀로지,KOSPI,보통주,16680,-8.45,1364200000000,81787,1112056,5.79,-0.85,-8.58,-211417928000.0,261874278000.0,1790415728000.0,-246364302000.0,2601445266000.0,4391860994000.0,68.82,-94.08,-8.13,2025,사업보고서
